delta_conf,type_of_label_change
0.0714,Emphasis Change
0.2892,Emphasis Change
0.0454,Specialisation
-0.0335,Generalisation
-0.0813,Emphasis Change
0.0126,Emphasis Change
0.0280,Specialisation
0.0395,Emphasis Change
0.0183,Emphasis Change
-0.0045,Emphasis Change
-0.1071,Generalisation
-0.1721,Emphasis Change
-0.1040,Emphasis Change
-0.0414,Emphasis Change
0.0204,Emphasis Change
0.0590,Emphasis Change
0.0171,Generalisation
0.0168,Generalisation
-0.0489,Generalisation
-0.1656,Emphasis Change
0.0261,Specialisation
0.0294,Emphasis Change
0.0418,Specialisation
0.0586,Emphasis Change
-0.0470,Emphasis Change
0.0295,Specialisation
0.1100,Emphasis Change
0.1973,Emphasis Change
0.0454,Emphasis Change
0.0114,Emphasis Change
0.0233,Emphasis Change
0.0351,Emphasis Change
-0.0325,Emphasis Change
-0.0130,Specialisation
-0.0962,Emphasis Change
-0.0236,Specialisation
0.0152,Generalisation
-0.0153,Emphasis Change
0.0267,Emphasis Change
0.0113,Specialisation
-0.0660,Generalisation
0.0397,Emphasis Change
-0.0426,Emphasis Change
0.0185,Specialisation
-0.0211,Emphasis Change
0.0114,Emphasis Change
-0.0641,Emphasis Change
-0.0051,Generalisation
-0.1637,Emphasis Change
0.1382,Emphasis Change
0.0319,Specialisation
-0.0002,Emphasis Change
0.0040,Emphasis Change
-0.0465,Emphasis Change
-0.1327,Specialisation
0.0000,Generalisation
0.0225,Emphasis Change
-0.0396,Generalisation
0.0492,Emphasis Change
-0.2223,Emphasis Change
-0.0022,Emphasis Change
-0.0511,Emphasis Change
0.0106,Emphasis Change
0.0200,Emphasis Change
0.1661,Specialisation
0.0116,Specialisation
0.0173,Emphasis Change
0.0014,Generalisation
0.0179,Specialisation
0.0279,Generalisation
0.0425,Generalisation
0.0566,Generalisation
0.0214,Emphasis Change
0.0269,Emphasis Change
